id,region_id,soato_id,name_uz,name_oz,name_ru
16,2,1703202,Oltinko'l tumani,Олтинкўл тумани,Алтынкульский район
17,2,1703203,Andijon tumani,Андижон тумани,Андижанский район
18,2,1703206,Baliqchi tumani,Балиқчи тумани,Балыкчинский район
19,2,1703209,Bo'z tumani,Бўз тумани,Бозский район
20,2,1703210,Buloqboshi tumani,Булоқбоши тумани,Булакбашинский район
21,2,1703211,Jalaquduq tumani,Жалақудуқ тумани,Джалалкудукский район
22,2,1703214,Izboskan tumani,Избоскан тумани,Избасканский район
23,2,1703217,Ulug'nor tumani,Улуғнор тумани,Улугноpский район
24,2,1703220,Qo'rg'ontepa tumani,Қўрғонтепа тумани,Кургантепинский район
25,2,1703224,Asaka tumani,Асака тумани,Асакинский район
26,2,1703227,Marxamat tumani,Мархамат тумани,Мархаматский район
27,2,1703230,Shaxrixon tumani,Шахрихон тумани,Шахриханский район
28,2,1703232,Paxtaobod tumani,Пахтаобод тумани,Пахтаабадский район
29,2,1703236,Xo'jaobod tumani,Хўжаобод тумани,Ходжаабадский район
30,2,1703401,Andijon,Андижон,Андижан
31,2,1703408,Xonobod,Хонобод,Ханабад
32,3,1706204,Olot tumani,Олот тумани,Алатский район
33,3,1706207,Buxoro tumani,Бухоро тумани,Бухарский район
34,3,1706212,Vobkent tumani,Вобкент тумани,Вабкентский район
35,3,1706215,G'ijduvon tumani,Ғиждувон тумани,Гиждуванский район
36,3,1706219,Kogon tumani,Когон тумани,Каганский район
37,3,1706230,Qorako'l tumani,Қоракўл тумани,Каракульский район
38,3,1706232,Qorovulbozor tumani,Қоровулбозор тумани,Караулбазарский район
39,3,1706240,Peshku tumani,Пешку тумани,Пешкунский район
40,3,1706242,Romitan tumani,Ромитан тумани,Ромитанский район
41,3,1706246,Jondor tumani,Жондор тумани,Жандарский район
42,3,1706258,Shofirkon tumani,Шофиркон тумани,Шафирканский район
43,3,1706401,Buxoro,Бухоро,Бухара
44,3,1706403,Kogon,Когон,Каган
45,4,1708201,Arnasoy tumani,Арнасой тумани,Арнасайский район
46,4,1708204,Baxmal tumani,Бахмал тумани,Бахмальский район
47,4,1708209,G'allaorol tumani,Ғаллаорол тумани,Галляаральский район
49,4,1708215,Do'stlik tumani,Дўстлик тумани,Дустликский район
50,4,1708218,Zomin tumani,Зомин тумани,Зааминский район
51,4,1708220,Zarbdor tumani,Зарбдор тумани,Зарбдарский район
52,4,1708223,Mirzacho'l tumani,Мирзачўл тумани,Мирзачульский район
53,4,1708225,Zafarobod tumani,Зафаробод тумани,Зафарабадский район
54,4,1708228,Paxtakor tumani,Пахтакор тумани,Пахтакорский район
55,4,1708235,Forish tumani,Фориш тумани,Фаришский район
56,4,1708237,Yangiobod tumani,Янгиобод тумани,Янгиабадский район
57,4,1708401,Jizzax,Жиззах,Джизак
58,5,1710207,G'uzor tumani,Ғузор тумани,Гузарский район
59,5,1710212,Dehqonobod tumani,Деҳқонобод тумани,Дехканабадский район
60,5,1710220,Qamashi tumani,Қамаши тумани,Камашинский район
61,5,1710224,Qarshi tumani,Қарши тумани,Каршинский район
62,5,1710229,Koson tumani,Косон тумани,Касанский район
63,5,1710232,Kitob tumani,Китоб тумани,Китабский район
64,5,1710233,Mirishkor tumani,Миришкор тумани,Миришкорский район
65,5,1710234,Muborak tumani,Муборак тумани,Мубарекский район
66,5,1710235,Nishon tumani,Нишон тумани,Нишанский район
67,5,1710237,Kasbi tumani,Касби тумани,Касбинский район
68,5,1710242,Chiroqchi tumani,Чироқчи тумани,Чиракчинский район
69,5,1710245,Shahrisabz tumani,Шаҳрисабз тумани,Шахрисабзский район
70,5,1710250,Yakkabog' tumani,Яккабоғ тумани,Яккабагский район
71,5,1710401,Qarshi,Қарши,Карши
72,5,1710405,Shahrisabz,Шаҳрисабз,Шахрисабз
73,6,1712211,Konimex tumani,Конимех тумани,Канимехский район
74,6,1712216,Qiziltepa tumani,Қизилтепа тумани,Кызылтепинский район
75,6,1712230,Navbahor tumani,Навбаҳор тумани,Навбахорский район
76,6,1712234,Karmana tumani,Кармана тумани,Карманинский район
77,6,1712238,Nurota tumani,Нурота тумани,Нуратинский район
78,6,1712244,Tomdi tumani,Томди тумани,Тамдынский район
79,6,1712248,Uchquduq tumani,Учқудуқ тумани,Учкудукский район
80,6,1712251,Xatirchi tumani,Хатирчи тумани,Хатырчинский район
81,6,1712401,Navoiy,Навоий,Навои
83,7,1714204,Mingbuloq tumani,Мингбулоқ тумани,Мингбулакский pайон
84,7,1714207,Kosonsoy tumani,Косонсой тумани,Касансайский район
85,7,1714212,Namangan tumani,Наманган тумани,Наманганский район
86,7,1714216,Norin tumani,Норин тумани,Нарынский район
87,7,1714219,Pop tumani,Поп тумани,Папский район
88,7,1714224,To'raqo'rg'on tumani,Тўрақўрғон тумани,Туракурганский район
89,7,1714229,Uychi tumani,Уйчи тумани,Уйчинский район
90,7,1714234,Uchqo'rg'on tumani,Учқўрғон тумани,Учкурганский район
91,7,1714236,Chortoq tumani,Чортоқ тумани,Чартакский район
92,7,1714237,Chust tumani,Чуст тумани,Чустский район
93,7,1714242,Yangiqo'rg'on tumani,Янгиқўрғон тумани,Янгикурганский район
94,7,1714401,Namangan,Наманган,Наманган
95,8,1718203,Oqdaryo tumani,Оқдарё тумани,Акдарьинский район
96,8,1718206,Bulung'ur tumani,Булунғур тумани,Булунгурский район
97,8,1718209,Jomboy tumani,Жомбой тумани,Джамбайский район
98,8,1718212,Ishtixon tumani,Иштихон тумани,Иштыханский район
99,8,1718215,Kattaqo'rg'on tumani,Каттақўрғон тумани,Каттакурганский район
100,8,1718216,Qo'shrabot tumani,Қўшработ тумани,Кушрабадский район
101,8,1718218,Narpay tumani,Нарпай тумани,Нарпайский район
102,8,1718224,Payariq tumani,Паяриқ тумани,Пайарыкский район
103,8,1718227,Pastdarg'om tumani,Пастдарғом тумани,Пастдаргомский район
104,8,1718230,Paxtachi tumani,Пахтачи тумани,Пахтачийский район
105,8,1718233,Samarqand tumani,Самарқанд тумани,Самаркандский район
106,8,1718235,Nurobod tumani,Нуробод тумани,Нурабадский район
107,8,1718236,Urgut tumani,Ургут тумани,Ургутский район
108,8,1718238,Tayloq tumani,Тайлоқ тумани,Тайлякский район
109,8,1718401,Samarqand,Самарқанд,Самарканд
110,8,1718406,Kattaqo'rg'on,Каттақўрғон,Каттакурган
111,5723,1722201,Oltinsoy tumani,Олтинсой тумани,Алтынсайский район
112,5723,1722202,Angor tumani,Ангор тумани,Ангорский район
113,5723,1722204,Boysun tumani,Бойсун тумани,Байсунский район
114,5723,1722207,Muzrabot tumani,Музработ тумани,Музрабадский район
115,5723,1722210,Denov tumani,Денов тумани,Денауский район
116,5723,1722212,Jarqo'rg'on tumani,Жарқўрғон тумани,Джаркурганский район
117,5723,1722214,Qumqo'rg'on tumani,Қумқўрғон тумани,Кумкурганский район
118,5723,1722215,Qiziriq tumani,Қизириқ тумани,Кизирикский район
119,5723,1722217,Sariosiyo tumani,Сариосиё тумани,Сариасийский район
120,5723,1722220,Termiz tumani,Термиз тумани,Термезский район
121,5723,1722221,Uzun tumani,Узун тумани,Узунский район
122,5723,1722223,Sherobod tumani,Шеробод тумани,Шерабадский район
123,5723,1722226,Sho'rchi tumani,Шўрчи тумани,Шурчинский район
125,10,1724206,Oqoltin tumani,Оқолтин тумани,Акалтынский район
126,10,1724212,Boyovut tumani,Боёвут тумани,Баяутский район
127,10,1724216,Sayxunobod tumani,Сайхунобод тумани,Сайхунабадский район
128,10,1724220,Guliston tumani,Гулистон тумани,Гулистанский район
129,10,1724226,Sardoba tumani,Сардоба тумани,Сардобинский район
130,10,1724228,Mirzaobod tumani,Мирзаобод тумани,Мирзаабадский район
131,10,1724231,Sirdaryo tumani,Сирдарё тумани,Сырдарьинский район
132,10,1724235,Xovos tumani,Ховос тумани,Хавастский район
133,10,1724401,Guliston,Гулистон,Гулистан
134,10,1724410,Shirin,Ширин,Шиpин
135,10,1724413,Yangiyer,Янгиер,Янгиеp
137,11,1726262,Uchtepa tumani,Учтепа тумани,Учтепинский район
138,11,1726264,Bektemir tumani,Бектемир тумани,Бектемирский район
139,11,1726266,Yunusobod tumani,Юнусобод тумани,Юнусабадский район
140,11,1726269,Mirzo Ulug'bek tumani,Мирзо Улуғбек тумани,Мирзо-Улугбекский район
141,11,1726273,Mirobod tumani,Миробод тумани,Мирабадский район
142,11,1726277,Shayxontohur tumani,Шайхонтоҳур тумани,Шайхантахурский район
143,11,1726280,Olmazor tumani,Олмазор тумани,Алмазарский район
144,11,1726283,Sirg'ali tumani,Сирғали тумани,Сергелийский район
145,11,1726287,Yakkasaroy tumani,Яккасарой тумани,Яккасарайский район
146,11,1726290,Yashnobod tumani,Яшнобод тумани,Яшнабадский район
147,11,1726294,Chilonzor tumani,Чилонзор тумани,Чиланзарский район
148,12,1727206,Oqqo'rg'on tumani,Оққўрғон тумани,Аккурганский район
149,12,1727212,Ohangaron tumani,Оҳангарон тумани,Ахангаранский район
150,12,1727220,Bekobod tumani,Бекобод тумани,Бекабадский район
151,12,1727224,Bo'stonliq tumani,Бўстонлиқ тумани,Бостанлыкский район
152,12,1727228,Bo'ka tumani,Бўка тумани,Букинский район
154,12,1727237,Zangiota tumani,Зангиота тумани,Зангиатинский район
155,12,1727239,Yuqorichirchiq tumani,Юқоричирчиқ тумани,Юкоричирчикский район
156,12,1727248,Qibray tumani,Қибрай тумани,Кибрайский район
157,12,1727249,Parkent tumani,Паркент тумани,Паркентский район
158,12,1727250,Piskent tumani,Пискент тумани,Пскентский район
159,12,1727253,O'rtachirchiq tumani,Ўртачирчиқ тумани,Уртачирчикский район
160,12,1727256,Chinoz tumani,Чиноз тумани,Чиназский район
161,12,1727259,Yangiyo'l tumani,Янгийўл тумани,Янгиюльский район
162,12,1727265,Toshkent tumani,Тошкент тумани,Ташкентский район
163,12,1727401,Nurafshon,Нурафшон,Нурафшон
164,12,1727404,Olmaliq,Олмалиқ,Алмалык
165,12,1727407,Angren,Ангрен,Ангрен
166,12,1727413,Bekobod,Бекобод,Бекабад
167,12,1727415,Ohangaron,Оҳангарон,Ахангаран
168,12,1727419,Chirchiq,Чирчиқ,Чиpчик
169,12,1727424,Yangiyo'l,Янгийўл,Янгиюль
170,13,1730203,Oltiariq tumani,Олтиариқ тумани,Алтыарыкский район
171,13,1730206,Qo'shtepa tumani,Қўштепа тумани,Куштепинский район
172,13,1730209,Bog'dod tumani,Боғдод тумани,Багдадский район
173,13,1730212,Buvayda tumani,Бувайда тумани,Бувайдинский район
174,13,1730215,Beshariq tumani,Бешариқ тумани,Бешарыкский район
175,13,1730218,Quva tumani,Қува тумани,Кувинский район
176,13,1730221,Uchko'prik tumani,Учкўприк тумани,Учкуприкский район
177,13,1730224,Rishton tumani,Риштон тумани,Риштанский район
178,13,1730226,So'x tumani,Сўх тумани,Сохский район
179,13,1730227,Toshloq tumani,Тошлоқ тумани,Ташлакский район
180,13,1730230,O'zbekiston tumani,Ўзбекистон тумани,Узбекистанский район
181,13,1730233,Farg'ona tumani,Фарғона тумани,Ферганский район
182,13,1730236,Dang'ara tumani,Данғара тумани,Дангаринский район
183,13,1730238,Furqat tumani,Фурқат тумани,Фуркатский район
184,13,1730242,Yozyovon tumani,Ёзёвон тумани,Язъяванский район
185,13,1730401,Farg'ona,Фарғона,Фергана
186,13,1730405,Qo'qon,Қўқон,Коканд
187,13,1730408,Quvasoy,Қувасой,Кувасай
188,13,1730412,Marg'ilon,Марғилон,Маpгилан
189,14,1733204,Bog'ot tumani,Боғот тумани,Багатский район
190,14,1733208,Gurlan tumani,Гурлан тумани,Гурленский район
191,14,1733212,Qo'shko'pir tumani,Қўшкўпир тумани,Кошкупырский район
192,14,1733217,Urganch tumani,Урганч тумани,Ургенчский район
193,14,1733220,Xazorasp tumani,Хазорасп тумани,Хазараспский район
194,14,1733223,Xonqa tumani,Хонқа тумани,Ханкинский район
195,14,1733226,Xiva tumani,Хива тумани,Хивинский район
196,14,1733230,Shovot tumani,Шовот тумани,Шаватский район
197,14,1733233,Yangiariq tumani,Янгиариқ тумани,Янгиарыкский район
198,14,1733236,Yangibozor tumani,Янгибозор тумани,Янгибазарский район
199,14,1733401,Urganch,Урганч,Ургенч
200,14,1733406,Xiva,Хива,Хива
201,15,1735204,Amudaryo tumani,Амударё тумани,Амударьинский район
202,15,1735207,Beruniy tumani,Беруний тумани,Берунийский район
203,15,1735211,Qorao'zak tumani,Қораўзак тумани,Караузякский район
204,15,1735212,Kegeyli tumani,Кегейли тумани,Кегейлийский район
205,15,1735215,Qo'ng'irot tumani,Қўнғирот тумани,Кунградский район
206,15,1735218,Qanliko'l tumani,Қанликўл тумани,Канлыкульский район
207,15,1735222,Mo'ynoq tumani,Мўйноқ тумани,Муйнакский район
208,15,1735225,Nukus tumani,Нукус тумани,Нукусский район
209,15,1735228,Taxiatosh tumani,Тахиатош тумани,Тахиаташский район
210,15,1735230,Taxtako'pir tumani,Тахтакўпир тумани,Тахтакупырский район
211,15,1735233,To'rtko'l tumani,Тўрткўл тумани,Турткульский район
212,15,1735236,Xo'jayli tumani,Хўжайли тумани,Ходжейлийский район
213,15,1735240,Chimboy tumani,Чимбой тумани,Чимбайский район
214,15,1735243,Shumanay tumani,Шуманай тумани,Шуманайский район
215,15,1735250,Ellikqal'a tumani,Элликқалъа тумани,Элликкалинский район
216,15,1735401,Nukus,Нукус,Нукус
2905,4,1708212,Sh.Rashidov tumani,Ш.Рашидов тумани,Ш.Рашидовский район
2939,6,1712408,Zarafshon,Зарафшон,Заpафшан
2981,5723,1722401,Termiz,Термиз,Термез
2993,11,1726260260,Toshkent shahrining tumanlari,Тошкент шаҳрининг туманлари,null
5867,12,1727233,Quyichirchiq tumani,Қуйичирчиқ тумани,Куйичирчикский район
8574,10,1724414,Baxt shaxar,Бахт шахар,город Бахт
8575,15,1735209,Bo‘zatov tumani,Бўзатов тумани,Бузатовский район
8580,5723,1722203,Bandixon tumani,Бандихон тумани,Бандиханский район
8581,14,1733221,Tuproqqal’a tumani,Тупроққалъа тумани,Тупроккалинский район
8584,6,1712412,G‘ozg‘on tumani,Ғозғон тумани,Газганский район
8587,11,1726292,Yangihayot tumani,Янгиҳаёт тумани,Янгихаётский район
8591,5,1710240,Ko‘kdala tumani,Кўкдала тумани,Кукдалинский район
8595,7,1714401365,Davlatobod tumani,Давлатобод тумани,Давлатабадский район
8601,7,1714401367,Yangi Namangan tumani,Янги Наманган тумани,Янги Наманганский район
